Date,Test Case ID,Module,Test Scenario,Test Steps,Expected Result,Actual Result,Status,Remarks
2026-05-19,TC-010,Windows Agent Server,Set Primary Domain Controller to No and verify secondary role,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Locate the item / setting in the UI
4. Inspect the displayed values and behavior
5. Verify success toast and that record appears/updates/removes in the list
6. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Server should function as secondary domain controller,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-19,TC-011,Windows Agent Server,Change HTTPS Port to valid custom port (e.g. 9443) and verify connectivity,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Select the existing record from list
4. Click 'Edit' and modify the required fields
5. Click 'Save' to apply changes
6. Verify success toast and that record appears/updates/removes in the list
7. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Server should be accessible on new HTTPS port,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-19,TC-012,Windows Agent Server,Enter invalid HTTPS Port (e.g. 99999 or 0 or negative) and attempt save,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Enter invalid / duplicate / out-of-range value as per scenario
4. Click 'Save' / 'Submit'
5. Verify proper validation/error message is displayed and no change is saved",Validation error should display for invalid port range,,Not Started,Platform: Windows | Type: Functional | Nature: Negative
2026-05-19,TC-013,Windows Agent Server,Select App Console IP and configure App Console HTTPS Port,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Perform the action described in the test scenario
4. Verify success toast and that record appears/updates/removes in the list
5. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",App Console should be configured and accessible,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-19,TC-014,Windows Agent Server,Add Windows Agent server with Type set to DNS/DHCP and verify both services,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Click 'Add' / 'Create' button
4. Fill all mandatory fields with valid test data
5. Click 'Save' / 'Submit'
6. Verify success toast and that record appears/updates/removes in the list
7. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Both DNS and DHCP services should be available on the server,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-19,TC-015,Windows Agent Server,Verify server status when Windows Agent machine is unreachable,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Locate the item / setting in the UI
4. Inspect the displayed values and behavior
5. Enter invalid / duplicate / out-of-range value as per scenario
6. Click 'Save' / 'Submit'
7. Verify proper validation/error message is displayed and no change is saved",Server status should show offline/down and alert should be triggered,,Not Started,Platform: Windows | Type: Functional | Nature: Negative
2026-05-19,TC-016,Windows Agent Server,Add Windows Agent server with duplicate Server IP,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Click 'Add' / 'Create' button
4. Fill all mandatory fields with valid test data
5. Click 'Save' / 'Submit'
6. Enter invalid / duplicate / out-of-range value as per scenario
7. Click 'Save' / 'Submit'
8. Verify proper validation/error message is displayed and no change is saved",Error message should display - duplicate server IP not allowed,,Not Started,Platform: Windows | Type: Functional | Nature: Negative
2026-05-19,TC-017,Windows Agent Server,Verify HTTPS certificate validation between App Console and Windows Agent,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Locate the item / setting in the UI
4. Inspect the displayed values and behavior
5. Verify success toast and that record appears/updates/removes in the list
6. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Secure HTTPS connection should be established with valid certificate,,Not Started,Platform: Windows | Type: Security | Nature: Positive
2026-05-19,TC-018,Windows Agent Server,Verify Windows Agent server appears in correct cluster after adding,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Locate the item / setting in the UI
4. Inspect the displayed values and behavior
5. Verify success toast and that record appears/updates/removes in the list
6. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Server should be listed under the assigned cluster,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-19,TC-019,Windows Agent Server,Edit server and change Server IP to a different valid IP,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Select the existing record from list
4. Click 'Edit' and modify the required fields
5. Click 'Save' to apply changes
6. Verify success toast and that record appears/updates/removes in the list
7. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Server IP should update and agent should connect to new IP,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-19,TC-020,Windows Agent Server,Verify Cancel button discards all changes in Edit Server page,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Select the existing record from list
4. Click 'Edit' and modify the required fields
5. Click 'Save' to apply changes
6. Verify success toast and that record appears/updates/removes in the list
7. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",No changes should be saved and user returns to server list,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-20,TC-020a,Windows Agent Server,Create server with Type DNS only and verify DNS service is active,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Click 'Add' / 'Create' button
4. Fill all mandatory fields with valid test data
5. Click 'Save' / 'Submit'
6. Verify success toast and that record appears/updates/removes in the list
7. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Only DNS service should be active on the server,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-20,TC-020b,Windows Agent Server,Edit server and update Type from DNS to DNS only and verify,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Select the existing record from list
4. Click 'Edit' and modify the required fields
5. Click 'Save' to apply changes
6. Verify success toast and that record appears/updates/removes in the list
7. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Server should display DNS only configuration,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-20,TC-020c,Windows Agent Server,Create server with Type DHCP only and verify DHCP service is active,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Click 'Add' / 'Create' button
4. Fill all mandatory fields with valid test data
5. Click 'Save' / 'Submit'
6. Verify success toast and that record appears/updates/removes in the list
7. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Only DHCP service should be active on the server,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-20,TC-020d,Windows Agent Server,Edit server and update Type from DHCP to DHCP only and verify,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Select the existing record from list
4. Click 'Edit' and modify the required fields
5. Click 'Save' to apply changes
6. Verify success toast and that record appears/updates/removes in the list
7. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Server should display DHCP only configuration,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-20,TC-020e,Windows Agent Server,Switch server Type from DNS to DHCP and verify service change,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Select the existing record from list
4. Click 'Edit' and modify the required fields
5. Click 'Save' to apply changes
6. Verify success toast and that record appears/updates/removes in the list
7. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",DNS service should stop and DHCP service should start,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-20,TC-020f,Windows Agent Server,Switch server Type from DHCP to DNS and verify service change,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Select the existing record from list
4. Click 'Edit' and modify the required fields
5. Click 'Save' to apply changes
6. Verify success toast and that record appears/updates/removes in the list
7. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",DHCP service should stop and DNS service should start,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-20,TC-020g,Windows Agent Server,Create server with Type BOTH (DNS/DHCP) and verify both services active,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Click 'Add' / 'Create' button
4. Fill all mandatory fields with valid test data
5. Click 'Save' / 'Submit'
6. Verify success toast and that record appears/updates/removes in the list
7. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Both DNS and DHCP services should be running,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-20,TC-020h,Windows Agent Server,Switch from Console Server to Agent Server and verify configuration,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Locate the item / setting in the UI
4. Inspect the displayed values and behavior
5. Verify success toast and that record appears/updates/removes in the list
6. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Agent server should be configured and operational after switch,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-20,TC-020i,Windows Agent Server,Switch from Agent Server to Console Server and verify configuration,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Locate the item / setting in the UI
4. Inspect the displayed values and behavior
5. Verify success toast and that record appears/updates/removes in the list
6. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Console server should be configured correctly after switch,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-20,TC-020j,Windows Agent Server,Verify Windows Agent server version displays correctly,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Locate the item / setting in the UI
4. Inspect the displayed values and behavior
5. Verify success toast and that record appears/updates/removes in the list
6. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Agent version should be visible and accurate,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-20,TC-020k,Windows Agent Server,Verify Windows Agent server PPM upgrade and version update,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Select the existing record from list
4. Click 'Edit' and modify the required fields
5. Click 'Save' to apply changes
6. Verify success toast and that record appears/updates/removes in the list
7. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",PPM upgrade should complete without errors and version should update,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-20,TC-020l,Windows Agent Server,Perform Suspend Operations action on Windows Agent server,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Perform the action described in the test scenario
4. Verify success toast and that record appears/updates/removes in the list
5. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Server operations should be suspended and status should reflect,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-20,TC-020m,Windows Agent Server,Perform Resume Operations after suspend on Windows Agent server,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Perform the action described in the test scenario
4. Verify success toast and that record appears/updates/removes in the list
5. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Server should resume normal operations,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-20,TC-020n,Windows Agent Server,Delete Windows Agent server via Actions menu and verify removal,"1. Obtain valid auth token via POST /api/login
2. Set Content-Type: application/json and Authorization header
3. Execute the API request as per the test scenario
4. Verify the response status code, headers and body
5. Cross-verify backend state via PowerShell/dig",Server should be deleted and removed from server list,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-20,TC-020o,Windows Agent Server,Perform Server Reconfiguration from Actions menu and verify,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Locate the item / setting in the UI
4. Inspect the displayed values and behavior
5. Verify success toast and that record appears/updates/removes in the list
6. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Server should be reconfigured and services restarted,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-20,TC-020p,Windows Agent Server,Perform DNS Rediscover from Actions menu and verify zones rediscovered,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Locate the item / setting in the UI
4. Inspect the displayed values and behavior
5. Verify success toast and that record appears/updates/removes in the list
6. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",All DNS zones should be rediscovered from Windows server,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-20,TC-020q,Windows Agent Server,Perform DHCP Rediscover from Actions menu and verify subnets rediscovered,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Locate the item / setting in the UI
4. Inspect the displayed values and behavior
5. Verify success toast and that record appears/updates/removes in the list
6. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",All DHCP subnets and scopes should be rediscovered,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-20,TC-020r,Windows Agent Server,Perform Check Status from Actions menu and verify server status,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Locate the item / setting in the UI
4. Inspect the displayed values and behavior
5. Verify success toast and that record appears/updates/removes in the list
6. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Server status should display correct online/offline state,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-20,TC-020s,Windows Agent Server,Perform View Stats from Actions menu and verify statistics display,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Locate the item / setting in the UI
4. Inspect the displayed values and behavior
5. Verify success toast and that record appears/updates/removes in the list
6. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Server statistics (DNS DHCP4 DHCP6) should display correctly,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-20,TC-020t,Windows Agent Server,Perform Flush DNS Cache from Actions menu and verify cache cleared,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Locate the item / setting in the UI
4. Inspect the displayed values and behavior
5. Verify success toast and that record appears/updates/removes in the list
6. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",DNS cache should be flushed on Windows server,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-20,TC-020u,Windows Agent Server,Verify Check Status button shows correct DNS DHCP4 DHCP6 status icons,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Locate the item / setting in the UI
4. Inspect the displayed values and behavior
5. Verify success toast and that record appears/updates/removes in the list
6. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",All service status icons should reflect actual server state,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-20,TC-020v,Windows Agent Server,Import server configuration and verify server added correctly,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Locate the item / setting in the UI
4. Inspect the displayed values and behavior
5. Click 'Import' and upload the test file
6. Verify success toast and that record appears/updates/removes in the list
7. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Imported server should be configured properly,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-20,TC-020w,Windows Agent Server,Verify Add Server button creates new server with all required fields,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Click 'Add' / 'Create' button
4. Fill all mandatory fields with valid test data
5. Click 'Save' / 'Submit'
6. Verify success toast and that record appears/updates/removes in the list
7. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",New server should be created with mandatory fields,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-20,TC-020x,Windows Agent Server,Verify server search by name in server list page,"1. Login to DDI Console with valid credentials
2. Navigate to Configuration > Server Configuration > Windows Agent
3. Locate the item / setting in the UI
4. Inspect the displayed values and behavior
5. Verify success toast and that record appears/updates/removes in the list
6. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Search should return matching servers,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
,,WINDOWS DNS ZONE MANAGEMENT,,,,,,
2026-05-21,TC-021,Windows DNS Zone,Add a forward lookup zone with valid zone name and verify,"1. Login to DDI Console with valid credentials
2. Navigate to DNS > Domain (Forward/Reverse) lookup zones
3. Click 'Add' / 'Create' button
4. Fill all mandatory fields with valid test data
5. Click 'Save' / 'Submit'
6. Verify success toast and that record appears/updates/removes in the list
7. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Zone should be created and visible in zone list and Windows DNS Manager,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-21,TC-022,Windows DNS Zone,Edit zone properties (TTL DDNS refresh retry expiry) and verify all values update,"1. Login to DDI Console with valid credentials
2. Navigate to DNS > Domain (Forward/Reverse) lookup zones
3. Select the existing record from list
4. Click 'Edit' and modify the required fields
5. Click 'Save' to apply changes
6. Verify success toast and that record appears/updates/removes in the list
7. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",All zone properties should be updated in UI and Windows server,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-21,TC-023,Windows DNS Zone,Delete a zone and verify removal from Windows server,"1. Obtain valid auth token via POST /api/login
2. Set Content-Type: application/json and Authorization header
3. Execute the API request as per the test scenario
4. Verify the response status code, headers and body
5. Cross-verify backend state via PowerShell/dig",Zone should be removed from both UI and Windows DNS server,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-21,TC-024,Windows DNS Zone,Add zone with scope list and verify scope zone creation,"1. Login to DDI Console with valid credentials
2. Navigate to DNS > Domain (Forward/Reverse) lookup zones
3. Click 'Add' / 'Create' button
4. Fill all mandatory fields with valid test data
5. Click 'Save' / 'Submit'
6. Verify success toast and that record appears/updates/removes in the list
7. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Zone should be created with scope and generate both scoped and non-scoped zones,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-21,TC-025,Windows DNS Zone,Verify scope list zone does not show edit icons,"1. Login to DDI Console with valid credentials
2. Navigate to DNS > Domain (Forward/Reverse) lookup zones
3. Select the existing record from list
4. Click 'Edit' and modify the required fields
5. Click 'Save' to apply changes
6. Verify success toast and that record appears/updates/removes in the list
7. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Edit icons should not be displayed for scope list zones,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-21,TC-026,Windows DNS Zone,Change master and slave server IP in zone configuration,"1. Login to DDI Console with valid credentials
2. Navigate to DNS > Domain (Forward/Reverse) lookup zones
3. Select the existing record from list
4. Click 'Edit' and modify the required fields
5. Click 'Save' to apply changes
6. Verify success toast and that record appears/updates/removes in the list
7. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Master and slave server IPs should update correctly,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-21,TC-027,Windows DNS Zone,Add zone and verify records details in configuration file,"1. Login to DDI Console with valid credentials
2. Navigate to DNS > Domain (Forward/Reverse) lookup zones
3. Click 'Add' / 'Create' button
4. Fill all mandatory fields with valid test data
5. Click 'Save' / 'Submit'
6. Verify success toast and that record appears/updates/removes in the list
7. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Zone configuration file should contain correct records data,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-21,TC-028,Windows DNS Zone,Verify zone records using dig command,"1. Login to DDI Console with valid credentials
2. Navigate to DNS > Domain (Forward/Reverse) lookup zones
3. Locate the item / setting in the UI
4. Inspect the displayed values and behavior
5. Verify success toast and that record appears/updates/removes in the list
6. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Dig command should return correct zone records with proper TTL values,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-21,TC-029,Windows DNS Zone,Verify TTL value displayed correctly in dig command output,"1. Login to DDI Console with valid credentials
2. Navigate to DNS > Domain (Forward/Reverse) lookup zones
3. Locate the item / setting in the UI
4. Inspect the displayed values and behavior
5. Verify success toast and that record appears/updates/removes in the list
6. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",TTL value in dig output should match configured TTL value,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-21,TC-030,Windows DNS Zone,Switch zone from master to slave and verify slave zone file removal,"1. Login to DDI Console with valid credentials
2. Navigate to DNS > Domain (Forward/Reverse) lookup zones
3. Locate the item / setting in the UI
4. Inspect the displayed values and behavior
5. Verify success toast and that record appears/updates/removes in the list
6. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Slave zone files should be properly removed from Windows server,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-21,TC-031,Windows DNS Zone,Switch zone from master to slave and verify server IP update using Get-DnsServer cmd,"1. Login to DDI Console with valid credentials
2. Navigate to DNS > Domain (Forward/Reverse) lookup zones
3. Select the existing record from list
4. Click 'Edit' and modify the required fields
5. Click 'Save' to apply changes
6. Verify success toast and that record appears/updates/removes in the list
7. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Server IP should update correctly with and without scope,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-21,TC-032,Windows DNS Zone,Verify SOA record displays actual name server name not none,"1. Login to DDI Console with valid credentials
2. Navigate to DNS > Domain (Forward/Reverse) lookup zones
3. Locate the item / setting in the UI
4. Inspect the displayed values and behavior
5. Verify success toast and that record appears/updates/removes in the list
6. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",SOA record should show actual name server name in zone file,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-21,TC-033,Windows DNS Zone,Add zone with DDNS enabled and verify /dhcp/zone_data POST call,"1. Login to DDI Console with valid credentials
2. Navigate to DNS > Domain (Forward/Reverse) lookup zones
3. Click 'Add' / 'Create' button
4. Fill all mandatory fields with valid test data
5. Click 'Save' / 'Submit'
6. Verify success toast and that record appears/updates/removes in the list
7. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",Zone should be created successfully with DDNS enabled without API error,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
2026-05-21,TC-034,Windows DNS Zone,Add update and delete all record types (A AAAA CNAME MX TXT SRV NS PTR CAA SOA),"1. Login to DDI Console with valid credentials
2. Navigate to DNS > Domain (Forward/Reverse) lookup zones
3. Click 'Add' / 'Create' button
4. Fill all mandatory fields with valid test data
5. Click 'Save' / 'Submit'
6. Select the existing record from list
7. Click 'Edit' and modify the required fields
8. Click 'Save' to apply changes
9. Select the record from list
10. Click 'Delete' / 'Remove' and confirm in dialog
11. Verify success toast and that record appears/updates/removes in the list
12. Backend verify on Windows server using PowerShell (Get-DnsServer.../Get-DhcpServer...) or dig command",All record types should be managed correctly,,Not Started,Platform: Windows | Type: Functional | Nature: Positive
